InteractionID,GeneSymbol,DrugID,DrugName,ConceptID,InteractionType,Directionality,Score,PMIDs,Sources
IX03432,CYP3A4,D02641,WHILE OLIVETOL,chembl:CHEMBL154533,,,0.01946450356408856,,DTC
IX03433,CYP3A4,D02594,LETROZOLE,rxcui:72965,,,0.003244083927348093,,DTC
IX03434,CYP3A4,D02642,GUAIFENESIN,rxcui:5032,,,0.02919675534613284,22931300,DTC
IX03435,CYP3A4,D02643,FLOPROPIONE,rxcui:25082,,,0.05839351069226569,,DTC
IX03436,CYP3A4,D02644,CHEMBL:CHEMBL362863,chembl:CHEMBL362863,,,0.01167870213845313,,DTC
IX03437,CYP3A4,D02234,NATEGLINIDE,rxcui:274332,,,0.01946450356408856,22931300,PharmGKB|DTC
IX03438,CYP3A4,D02645,BETA-TOXICAROL,chembl:CHEMBL1556035,,,0.02919675534613284,,DTC
IX03439,CYP3A4,D02646,ALLOPURINOL,rxcui:519,,,0.003892900712817712,22931300,DTC
IX03440,CYP3A4,D02647,SAQUINAVIR,rxcui:83395,,,0.01297633570939237,9187528,PharmGKB
IX03441,CYP3A4,D02648,PMX53,iuphar.ligand:579,,,0.0083419300988951,,TTD
IX03442,CYP3A4,D02649,TENOFOVIR ALAFENAMIDE,rxcui:1721603,,,0.05839351069226569,30815689,PharmGKB
IX03443,CYP3A4,D02650,HARMAN,chembl:CHEMBL12014,,,0.009732251782044283,,DTC
IX03444,CYP3A4,D02651,"4,2',4',6'-TETRAHYDROXYCHALCONE",chembl:CHEMBL338066,,,0.05839351069226569,,DTC
IX03445,CYP3A4,D02652,"L-741,626",iuphar.ligand:177,,,0.005308500972024154,,DTC
IX03446,CYP3A4,D02653,GLIQUIDONE,rxcui:25793,,,0.0083419300988951,,DTC
IX03447,CYP3A4,D02654,CHEMBL:CHEMBL242172,chembl:CHEMBL242172,,,0.01459837767306642,,DTC
IX03448,CYP3A4,D02655,TROPISETRON,rxcui:27392,,,0.01557160285127085,9187528|8013282,PharmGKB|NCI
IX03449,CYP3A4,D02656,Y-27632,drugbank:DB08756,,,0.01946450356408856,,DTC
IX03450,CYP3A4,D02657,PHENELZINE,rxcui:8123,,,0.0083419300988951,22931300,DTC
IX03451,CYP3A4,D02658,RILMENIDINE HEMIFUMARATE,chembl:CHEMBL1256674,,,0.05839351069226569,,DTC
IX03452,CYP3A4,D02659,KAEMPHEROL,drugbank:DB01852,,,0.003244083927348093,,DTC
