DrugID,DrugDBID,Name,Modality,MechanismOfAction,MaxTrialPhase,IsApproved,HasBeenWithdrawn,SMILES,MolecularWeight
D05785,chembl:CHEMBL589258,CHEMBL:CHEMBL589258,,,,False,,,
D05786,chembl:CHEMBL3644672,BAY-1082439,,inhibitor,,False,,,
D05787,drugbank:DB12740,CC-115,,,,False,,,
D05788,ncit:C29855,THEAFLAVIN,,,,False,,,
D05789,iuphar.ligand:10908,BAY1125976,,,,False,,,
D05790,iuphar.ligand:7512,MS417,,,,False,,,
D05791,ncit:C74073,PI3K INHIBITOR BGT226,,inhibitor,,False,,,
D05792,iuphar.ligand:5984,HERBIMYCIN A,,,,False,,,
D05793,ncit:C1135,INDOLE-3-CARBINOL,,,,False,,,
D05794,ncit:C88329,VISTUSERTIB,,,,False,,,
D05795,ncit:C84837,PI3K/MTOR KINASE INHIBITOR PF-04691502,,inhibitor,,False,,,
D05796,ncit:C187335,MUTANT-SELECTIVE PI3K-ALPHA H1047R INHIBITOR LOXO-783,,,,False,,,
D05797,chembl:CHEMBL263664,CHEMBL:CHEMBL263664,,,,False,,,
D05798,rxcui:11055,UROKINASE,protein,,,True,,,
D05799,ncit:C138994,COPANLISIB HYDROCHLORIDE,,inhibitor,,True,,,
D05800,chembl:CHEMBL1939433,CHEMBL:CHEMBL1939433,,,,False,,,
D05801,ncit:C95737,AKT INHIBITOR LY2780301,,,,False,,,
D05802,ncit:C178401,RISOVALISIB,,,,False,,,
D05803,drugbank:DB12387,OSI-027,Kinase Inhibitors,,,False,,,
D05804,ncit:C49061,RIDAFOROLIMUS,Kinase Inhibitors,,,False,,,
D05805,rxcui:1232150,AFLIBERCEPT,fusion protein,inhibitor; antibody,,True,,,
D05806,rxcui:253166,"SYNTHETIC CONJUGATED ESTROGENS, A",,,,False,,,
D05807,rxcui:2478456,TIGILANOL TIGLATE,,activator,,False,,,
D05808,ncit:C80631,SOTRASTAURIN ACETATE,,,,False,,,
D05809,chembl:CHEMBL574737,UCN-01,,inhibitor,,False,,,
D05810,rxcui:2596,CLOMIPHENE,Fertility Agents,,,True,,,
D05811,ncit:C29869,"SN-1,2-DIDECANOYLGLYCEROL",,,,False,,,
D05812,ncit:C29713,ALPHA-ADRENERGIC ANTAGONIST,,,,False,,,
D05813,ncit:C29576,BETA-ADRENERGIC ANTAGONIST,,,,False,,,
D05814,ncit:C1891,PROGESTERONE ANTAGONIST,,,,False,,,
D05815,chembl:CHEMBL1698,BUPROPION HYDROCHLORIDE,,,,False,,,
D05816,rxcui:1310069,HYPOXIS HEMEROCALLIDEA ROOT EXTRACT,,,,True,,,
D05817,rxcui:18994,BENZNIDAZOLE,,,,True,,,
D05818,ncit:C1484,TYRPHOSTIN A25,,,,False,,,
D05819,rxcui:142432,CLONIDINE HYDROCHLORIDE,Small Molecule,,,True,,,
D05820,rxcui:4501,FLURAZEPAM,small molecule,,,True,,,
D05821,rxcui:4494,FLUOXYMESTERONE,Anabolic Agents,,,True,,,
D05822,rxcui:22690,DEXAMETHASONE ACETATE,,,,True,,,
D05823,rxcui:10378,TESTOLACTONE,small molecule,,,True,,,
D05824,ncit:C29710,ANTIPSYCHOTIC AGENT,,,,False,,,
D05825,ncit:C1091,ESTRONE SULFATE,,,,False,,,
D05826,ncit:C1910,GONADOTROPIN-RELEASING HORMONE ANALOG,,,,False,,,
D05827,ncit:C1538,RECOMBINANT FAS LIGAND,,,,False,,,
D05828,rxcui:772,ANCROD,,,,False,,,
D05829,rxcui:9913,SODIUM TETRADECYL SULFATE,Sclerosing Agents,,,True,,,
D05830,chembl:CHEMBL5315087,PROTEIN C CONCENTRATE (HUMAN),,,,True,,,
D05831,wikidata:Q123598631,3K3A-ACTIVATED PROTEIN C,,,,False,,,
D05832,ncit:C124652,ICT-121 DENDRITIC CELL VACCINE,,,,False,,,
D05833,drugbank:DB05161,ELAFIN,recombinant protein,,,False,,,
D05834,ncit:C152650,TIPRELESTAT,,,,False,,,
D05835,iuphar.ligand:7028,AMI-1,,inhibitor,,False,,,
D05836,iuphar.ligand:8955,MS023,,inhibitor,,False,,,
D05837,ncit:C200720,STILBAMIDINE,,,,False,,,
D05838,drugbank:DB13706,EOSIN,,,,False,,,
D05839,iuphar.ligand:7029,RM65,,inhibitor,,False,,,
D05840,chembl:CHEMBL1092740,CHEMBL:CHEMBL1092740,,,,False,,,
D05841,iuphar.ligand:7037,C21,,inhibitor,,False,,,
D05842,iuphar.ligand:11749,ONAMETOSTAT,,inhibitor,,False,,,
D05843,iuphar.ligand:9527,LLY-283,,inhibitor,,False,,,
D05844,ncit:C142177,PEMRAMETOSTAT,,inhibitor,,False,,,
D05845,iuphar.ligand:12116,MRTX1719,,inhibitor,,False,,,
D05846,iuphar.ligand:8395,DS-437,,inhibitor,,False,,,
D05847,iuphar.ligand:11844,PF-06939999,,inhibitor,,False,,,
D05848,iuphar.ligand:8288,CMP5 [PMID: 25742700],,inhibitor,,False,,,
D05849,iuphar.ligand:8287,EPZ015666,,inhibitor,,False,,,
D05850,iuphar.ligand:13320,TNG908,,inhibitor,,False,,,
D05851,iuphar.ligand:8954,GSK591,,inhibitor,,False,,,
D05852,ncit:C88295,BIRINAPANT,,,,False,,,
D05853,rxcui:2471078,TIRBANIBULIN,Kinase Inhibitors,,,True,,,
D05854,chembl:CHEMBL4303309,CX-5461,,,,False,,,
D05855,iuphar.ligand:8105,UMI-77,,,,False,,,
D05856,drugbank:DB12380,GDC-0152,,,,False,,,
D05857,ncit:C2670,MEK INHIBITOR CI-1040,,,,False,,,
D05858,chembl:CHEMBL4227505,BLZ945,,,,False,,,
D05859,iuphar.ligand:5928,KU-55933,,,,False,,,
D05860,iuphar.ligand:12338,RMC-5552,,,,False,,,
D05861,ncit:C2201,MTOR INHIBITOR,,,,False,,,
D05862,drugbank:DB16106,GSK2256098,,,,False,,,
D05863,iuphar.ligand:8041,KU-60019,,,,False,,,
D05864,iuphar.ligand:9368,CX-6258,,,,False,,,
D05865,rxcui:1723735,IXAZOMIB,,inhibitor,,True,,,
D05866,drugbank:DB16741,BORTEZOMIB D-MANNITOL,,inhibitor,,True,,,
D05867,ncit:C91388,OPROZOMIB,small molecule,inhibitor,,False,,,
D05868,rxcui:1723734,IXAZOMIB CITRATE,Small molecule,inhibitor,,True,,,
D05869,ncit:C64634,MARIZOMIB,,inhibitor,,False,,,
D05870,ncit:C72107,ANTRAFENINE,,inhibitor,,True,,,
D05871,drugbank:DB07610,"1,2-DIHYDROXYNAPHTHALENE",,,,False,,,
D05872,chembl:CHEMBL2109480,AHN-12,,binder,,False,,,
D05873,ncit:C2527,IODINE I 131 APAMISTAMAB,,,,False,,,
D05874,chembl:CHEMBL2109630,BC8 131I,,binder,,False,,,
D05875,ncit:C878,RECOMBINANT HUMAN THROMBOPOIETIN,,,,False,,,
D05876,rxcui:20343,CARPROFEN,"Anti-Inflammatory Agents, Non-Steroidal",inhibitor,,True,,,
D05877,rxcui:1294612,INDOMETHACIN SODIUM,,inhibitor,,True,,,
D05878,ncit:C81061,DARBUFELONE,,,,False,,,
D05879,ncit:C170327,PIRPROFEN,,inhibitor,,True,,,
D05880,ncit:C80544,ESFLURBIPROFEN,,inhibitor,,True,,,
D05881,rxcui:19737,BROMFENAC,"Anti-Inflammatory Agents, Non-Steroidal",,,True,,,
D05882,rxcui:17393,ALOXIPRIN,,inhibitor,,True,,,
D05883,rxcui:37790,TENOXICAM,"Anti-Inflammatory Agents, Non-Steroidal",,,False,,,
D05884,rxcui:9525,SALICYLIC ACID,Keratolytic Agents,,,True,,,
D05885,rxcui:237162,DEXKETOPROFEN,,inhibitor,,True,,,
D05886,rxcui:307296,ETORICOXIB,Small Molecule,inhibitor,,True,,,
D05887,rxcui:10255,SUPROFEN,small molecule,inhibitor,,True,,,
D05888,rxcui:31448,NABUMETONE,small molecule,inhibitor,,True,,,
D05889,rxcui:36761,IBUPROFEN LYSINE,,inhibitor,,True,,,
D05890,rxcui:16689,ACECLOFENAC,,inhibitor,,True,,,
D05891,ncit:C96750,IBUFENAC,,inhibitor,,True,,,
D05892,rxcui:18747,BALSALAZIDE,Small molecule,,,True,,,
D05893,rxcui:153718,BALSALAZIDE DISODIUM,,inhibitor,,True,,,
D05894,rxcui:28200,KETOROLAC TROMETHAMINE,Small Molecule,inhibitor,,True,,,
D05895,rxcui:81963,BENZYDAMINE HYDROCHLORIDE,,inhibitor,,True,,,
D05896,ncit:C83989,NAPROXCINOD,Small molecule,inhibitor,,False,,,
D05897,rxcui:24605,ETODOLAC,Small Molecule,inhibitor,,True,,,
D05898,ncit:C174668,DICLOFENAC ETALHYALURONATE SODIUM,,inhibitor,,False,,,
D05899,rxcui:660767,OXAPROZIN POTASSIUM,,inhibitor,,True,,,
D05900,rxcui:20890,LORNOXICAM,,inhibitor,,True,,,
D05901,drugbank:DB12354,IMRECOXIB,,,,False,,,
D05902,ncit:C77551,CIMICOXIB,Small molecule,inhibitor,,False,,,
D05903,ncit:C63957,LICOFELONE,Small molecule,,,False,,,
D05904,rxcui:91351,FLURBIPROFEN SODIUM,,inhibitor,,True,,,
D05905,rxcui:41493,MELOXICAM,small molecule,inhibitor,,True,,,
D05906,rxcui:36108,SALSALATE,small molecule,,,True,,,
D05907,rxcui:40968,DICLOFENAC EPOLAMINE,,inhibitor,,True,,,
D05908,rxcui:7833,AMINOSALICYLIC ACID,,,,True,,,
D05909,rxcui:1250203,ROBENACOXIB,,inhibitor,,True,,,
D05910,ncit:C74021,APRICOXIB,Small molecule,inhibitor,,False,,,
D05911,rxcui:1029,APAZONE,,inhibitor,,True,,,
D05912,ncit:C65643,FENCLOFENAC,,inhibitor,,True,,,
D05913,rxcui:19478,BISMUTH SUBSALICYLATE,,inhibitor,,True,,,
D05914,iuphar.ligand:13505,TIGEMOCOXIB,,,,False,,,
D05915,ncit:C66652,VEDAPROFEN,,inhibitor,,False,,,
D05916,ncit:C61499,NITRIC OXIDE-RELEASING ACETYLSALICYLIC ACID DERIVATIVE,Small molecule,,,False,,,
D05917,rxcui:32613,OXAPROZIN,"Anti-Inflammatory Agents, Non-Steroidal",inhibitor,,True,,,
D05918,rxcui:6142,KETOPROFEN,Small Molecule,inhibitor,,True,,,
D05919,chembl:CHEMBL427526,(R)-IBUPROPHEN,,,,False,,,
D05920,ncit:C170335,POLMACOXIB,Small molecule,inhibitor,,False,,,
D05921,ncit:C83801,INDOPROFEN,,inhibitor,,True,,,
D05922,rxcui:298665,NEPAFENAC,Antiinflammatory agent,inhibitor,,True,,,
D05923,drugbank:DB12009,GW-406381,,inhibitor,,False,,,
D05924,rxcui:24830,FENBUFEN,,,,False,,,
D05925,ncit:C174926,ENFLICOXIB,,inhibitor,,False,,,
D05926,ncit:C166529,NAPROXEN ETEMESIL,Small molecule,inhibitor,,False,,,
D05927,rxcui:81997,DICLOFENAC POTASSIUM,,inhibitor,,True,,,
D05928,rxcui:3523,DIPYRONE,,inhibitor,,True,,,
D05929,rxcui:4301,OMEGA-3 FATTY ACIDS,,,,True,,,
D05930,ncit:C80558,ISOXICAM,,inhibitor,,True,,,
D05931,rxcui:104123,OLSALAZINE SODIUM,,inhibitor,,True,,,
D05932,rxcui:1425,BENZYDAMINE,,inhibitor,,True,,,
D05933,ncit:C76639,MAVACOXIB,,inhibitor,,False,,,
D05934,rxcui:588003,MECLOFENAMATE,"Anti-Inflammatory Agents, Non-Steroidal",,,True,,,
D05935,chembl:CHEMBL443095,E163,,,,False,,,
D05936,rxcui:16695,ACEMETACIN,,inhibitor,,True,,,
D05937,chembl:CHEMBL2171117,CHEMBL:CHEMBL2171117,,,,False,,,
D05938,rxcui:473298,FIROCOXIB,,inhibitor,,False,,,
D05939,ncit:C166907,DEXIBUPROFEN,,inhibitor,,True,,,
D05940,ncit:C77348,CLOMETACIN,,inhibitor,,True,,,
D05941,rxcui:28908,LOXOPROFEN,,inhibitor,,True,,,
D05942,ncit:C77949,DERSALAZINE,Small molecule,,,False,,,
D05943,rxcui:279951,PARECOXIB SODIUM,,inhibitor,,True,,,
D05944,rxcui:4331,FENOPROFEN,"Anti-Inflammatory Agents, Non-Steroidal",,,True,,,
D05945,rxcui:278567,VALDECOXIB,,inhibitor,,True,,,
D05946,rxcui:267171,FENOPROFEN CALCIUM,,inhibitor,,True,,,
D05947,rxcui:47364,BROMFENAC SODIUM,,inhibitor,,True,,,
D05948,chembl:CHEMBL3301581,ABALOPARATIDE,,,,False,,,
D05949,chembl:CHEMBL2108078,PARATHYROID HORMONE,recombinant protein,,,False,,,
D05950,chembl:CHEMBL4802222,OSTABOLIN-C,peptide,,,False,,,
D05951,rxcui:1427222,PARATHYROID HORMONE,recombinant protein,,,True,,,
D05952,chembl:CHEMBL2068504,STIBOGLUCONATE,small molecule,,,False,,,
D05953,ncit:C139559,BATOPROTAFIB,,inhibitor,,False,,,
D05954,rxcui:3446,SUCCIMER,,,,True,,,
D05955,chembl:CHEMBL510966,CHEMBL:CHEMBL510966,,,,False,,,
D05956,drugbank:DB15412,LB-100,,,,False,,,
D05957,ncit:C123828,COFETUZUMAB PELIDOTIN,,,,False,,,
D05958,drugbank:DB05933,MK-4721,,inhibitor,,False,,,
D05959,ncit:C128031,AUTOLOGOUS PROSTATE STEM CELL ANTIGEN-SPECIFIC CAR T CELLS BPX-601,,,,False,,,
D05960,chembl:CHEMBL2109548,MK-4721,monoclonal antibody,,,False,,,
D05961,ncit:C71157,ANTI-PSCA MONOCLONAL ANTIBODY AGS-1C4D4,monoclonal antibody,,,False,,,
D05962,chembl:CHEMBL3545173,IRX4310,,inhibitor,,False,,,
D05963,drugbank:DB05785,LGD-1550,Small molecule,,,False,,,
D05964,rxcui:4182,ETRETINATE,,agonist,,True,,,
D05965,iuphar.ligand:8276,PALOVAROTENE,small molecule,,,False,,,
D05966,iuphar.ligand:4055,AC55649,,,,False,,,
D05967,ncit:C63667,MOFAROTENE,,modulator,,False,,,
D05968,chembl:CHEMBL554475,CHEMBL:CHEMBL554475,,,,False,,,
D05969,chembl:CHEMBL563777,CHEMBL:CHEMBL563777,,,,False,,,
D05970,chembl:CHEMBL562095,CHEMBL:CHEMBL562095,,,,False,,,
D05971,chembl:CHEMBL579882,CHEMBL:CHEMBL579882,,,,False,,,
D05972,iuphar.ligand:11057,NSC 23766,,,,False,,,
D05973,rxcui:349730,ANHYDROUS DEXTROSE,,,,True,,,
D05974,rxcui:679314,PALIPERIDONE,Antipsychotic Agents,,,True,,,
D05975,rxcui:46303,AMISULPRIDE,Small molecule,,,True,,,
D05976,ncit:C74594,REBEMADLIN,,,,False,,,
D05977,drugbank:DB18193,VCN-01,,,,False,,,
D05978,ncit:C125899,DALPICICLIB,,,,False,,,
D05979,rxcui:2044896,FOSTAMATINIB,Small molecule,,,True,,,
D05980,rxcui:2479690,TRILACICLIB,,,,True,,,
D05981,ncit:C165238,AURORA A KINASE INHIBITOR LY3295668 ERBUMINE,,,,False,,,
D05982,drugbank:DB18019,LY3295668,,,,False,,,
D05983,iuphar.ligand:5707,R547,,,,False,,,
D05984,rxcui:105556,ESTRAMUSTINE PHOSPHATE,,,,False,,,
D05985,chembl:CHEMBL456559,CHEMBL:CHEMBL456559,,,,False,,,
D05986,ncit:C1519,ROQUINIMEX,,,,False,,,
D05987,chembl:CHEMBL4297978,BTI-410,,,,False,,,
D05988,chembl:CHEMBL2109124,DORLIMOMAB ARITOX,,inhibitor,,False,,,
D05989,chembl:CHEMBL4297789,MT-3724,,inhibitor,,False,,,
D05990,ncit:C169791,ATALUREN,,modulator,,True,,,
D05991,ncit:C174918,EXALUREN,,modulator,,False,,,
D05992,iuphar.ligand:4271,NS004,,activator,,False,,,
D05993,chembl:CHEMBL235934,CLAUSINE E,,,,False,,,
D05994,iuphar.ligand:4272,NS1619,,activator,,False,,,
D05995,ncit:C198976,RET INHIBITOR APS03118,,,,False,,,
D05996,ncit:C79844,VOLASERTIB,PLK1 inhibitor,,,False,,,
